# Per-second time series: 4-core stress-ng under PL1=10W (MMIO 0x70A8 = 0x...8a00)
# Shows the GPU "latch": package runs at 10W only while the iGPU stays idle (RC6,
# ~100 MHz). At t=10s the GPU briefly wakes and the PUNIT collapses the whole
# package to ~6W (CPU 2089 -> ~1400 MHz) and it does NOT recover even when the
# GPU returns to 100 MHz (see t=16..30). TjMax 105C, temps ~60-76C: not thermal.
#
#  t  GPUmhz  CPUmhz  pkgW
  1   100   2089  10.04
  2   100   2089  10.02
  3   100   2089  10.00
  4   100   2089  10.18
  5   100   2089  10.00
  6   600   2089  10.08
  7   100   2089  10.02
  8   100   1853  10.22
  9   100   2089  10.25
 10   300   1392   6.65   <-- GPU wakes; package collapses
 11   100   1591   5.88
 12   300   1392   5.93
 13   300   1392   6.04
 14   350   1437   5.91
 15   300   1392   5.97
 16   100   1492   5.96   <-- GPU back to idle but power stays 6W (sticky latch)
 17   100   1492   5.98
 18   300   1392   5.95
 19   100   1492   6.01
 20   100   1444   5.96
 21   100   1462   5.96
 22   350   1395   5.93
 23   100   1392   6.02
 24   100   1492   5.94
 25   100   1392   5.97
 26   100   1532   5.92
 27   100   1492   5.99
 28   100   1456   6.02
 29   100   1492   5.97
 30   100   1492   5.95
 31   350   1392   5.94
 32   300   1492   5.95
 33   250   1293   6.06
 34   100   1555   5.89
 35   250   1293   5.86
 36   250   1307   6.09
 37   100   1492   5.99
 38   250   1293   5.96
 39   100   1485   5.98
 40   100   1492   5.98
 41   300   1293   5.94
 42   300   1392   6.01
 43   100   1387   5.95
 44   100   1392   5.93
 45   300   1392   6.03
